""	,	L_3
pps_ktimer_init	,	F_10
ENOMEM	,	V_16
data	,	V_11
PPS_CAPTURECLEAR	,	V_13
dev_info	,	F_6
pps_register_source	,	F_11
pps_event	,	F_3
setup_timer	,	F_13
ktimer	,	V_6
pps_ktimer_exit	,	F_7
HZ	,	V_8
"echo %s %s\n"	,	L_1
dev	,	V_12
pps_ktimer_event	,	F_1
pps_ktimer_echo	,	F_5
event	,	V_10
PPS_CAPTUREASSERT	,	V_5
"assert"	,	L_2
"cannot register PPS source\n"	,	L_6
del_timer_sync	,	F_8
"ktimer PPS source unregistered\n"	,	L_5
pps_get_ts	,	F_2
PPS_OFFSETASSERT	,	V_15
pps_event_time	,	V_2
mod_timer	,	F_4
ptr	,	V_1
pps_ktimer_info	,	V_14
pps	,	V_4
"clear"	,	L_4
jiffies	,	V_7
pps_device	,	V_9
__exit	,	T_1
__init	,	T_2
pr_err	,	F_12
pps_unregister_source	,	F_9
"ktimer PPS source registered\n"	,	L_7
ts	,	V_3
