""	,	L_1
C_FILESIZE	,	V_23
data	,	V_3
size_t	,	T_2
C_NAMESIZE	,	V_22
path	,	V_2
find_cpio_data	,	F_1
len	,	V_4
pr_warn	,	F_3
"File %s exceeding MAX_CPIO_FILE_NAME [%d]\n"	,	L_2
cd	,	V_8
c	,	V_15
offset	,	V_5
dptr	,	V_10
ch	,	V_12
__cpuinit	,	T_1
strlcpy	,	F_4
cpio_header_len	,	V_6
C_MAGIC	,	V_21
i	,	V_18
cpio_data	,	V_1
chp	,	V_13
j	,	V_19
PTR_ALIGN	,	F_2
C_MODE	,	V_24
mypathsize	,	V_17
MAX_CPIO_FILE_NAME	,	V_25
p	,	V_9
nptr	,	V_11
size	,	V_27
v	,	V_14
x	,	V_16
name	,	V_26
quit	,	V_20
C_NFIELDS	,	V_7
