""	,	L_1
"%s#dma-size-cells"	,	L_4
ENODEV	,	V_17
of_n_addr_cells	,	F_4
prefix	,	V_3
dma_addr_t	,	T_1
__be32	,	T_3
of_get_property	,	F_2
dn	,	V_2
size_t	,	T_2
sizename	,	V_15
device_node	,	V_1
u32	,	T_4
of_get_dma_window	,	F_1
prop	,	V_19
busno	,	V_5
end	,	V_9
addr	,	V_6
be32_to_cpup	,	F_3
addrname	,	V_14
of_read_number	,	F_5
index	,	V_4
of_n_size_cells	,	F_6
cur_index	,	V_11
EINVAL	,	V_16
"#address-cells"	,	L_5
"%sdma-window"	,	L_2
"%s#dma-address-cells"	,	L_3
cells	,	V_18
size	,	V_7
dma_window	,	V_8
bytes	,	V_10
NAME_MAX	,	V_13
propname	,	V_12
