""	,	L_1
spk_synth_immediate	,	F_7
spk_serial_in	,	F_8
audptr_exit	,	F_14
alive	,	V_13
spk_serial_tx_busy	,	F_2
synth_probe	,	F_10
synth_remove	,	F_15
"%s version: %s"	,	L_3
spk_synth	,	V_1
timeout	,	V_3
long_name	,	V_11
audptr_init	,	F_12
SYNTH_CLEAR	,	V_5
"\x05[Q]"	,	L_2
spk_serial_synth_probe	,	F_11
synth_flush	,	F_1
port_tts	,	V_7
spk_serial_out	,	F_5
outb	,	F_4
speakup_info	,	V_6
synth_version	,	F_6
test	,	V_9
pr_info	,	F_9
synth_audptr	,	V_14
failed	,	V_12
synth_add	,	F_13
synth	,	V_2
__init	,	T_1
__exit	,	T_2
udelay	,	F_3
SPK_XMITR_TIMEOUT	,	V_4
PROCSPEECH	,	V_8
synth_id	,	V_10
