""	,	L_5
parent	,	V_9
stack	,	V_2
"%s"	,	L_6
STK_BLK	,	V_8
event_format	,	V_17
pfunction	,	V_22
"ftrace"	,	L_9
"function"	,	L_10
" &lt;-- "	,	L_8
pevent	,	V_20
pevent_get_field_val	,	F_6
trace_seq_printf	,	F_9
pos	,	V_4
add_and_get_index	,	F_4
trace_seq	,	V_13
record	,	V_16
function	,	V_21
context	,	V_19
warning	,	F_2
event	,	V_18
"could not allocate plugin memory\n"	,	L_1
pevent_find_function	,	F_8
pevent_unregister_event_handler	,	F_13
cpus	,	V_11
function_handler	,	F_5
"%*s"	,	L_4
"parent_ip"	,	L_3
"ip"	,	L_2
i	,	V_5
cpu	,	V_10
index	,	V_24
pevent_register_event_handler	,	F_11
add_child	,	F_1
ptr	,	V_7
"0x%llx"	,	L_7
s	,	V_14
size	,	V_6
func	,	V_23
pevent_record	,	V_15
func_stack	,	V_1
PEVENT_PLUGIN_LOADER	,	F_10
x	,	V_25
trace_seq_putc	,	F_7
strdup	,	F_3
fstack	,	V_12
PEVENT_PLUGIN_UNLOADER	,	F_12
child	,	V_3
