""	,	L_1
V4L2_COLORSPACE_REC709	,	V_20
V4L2_COLORSPACE_470_SYSTEM_M	,	V_17
"V4L2_COLORSPACE_SMPTE240M"	,	L_3
"/* Generated table */\n"	,	L_8
"\t[%s][%d] = { %d, %d, %d },\n"	,	L_10
argv	,	V_22
"V4L2_COLORSPACE_REC709"	,	L_4
transfer_rgb_to_rec709	,	F_4
transfer_srgb_to_rgb	,	F_2
"V4L2_COLORSPACE_470_SYSTEM_M"	,	L_5
V4L2_COLORSPACE_SRGB	,	V_19
transfer_rgb_to_smpte240m	,	F_3
V4L2_COLORSPACE_470_SYSTEM_BG	,	V_15
ib	,	V_7
"V4L2_COLORSPACE_SRGB"	,	L_7
colorspace_names	,	V_24
ig	,	V_6
V4L2_COLORSPACE_SMPTE240M	,	V_11
rec709_to_240m	,	V_12
v4l2_colorspace	,	V_9
argc	,	V_21
rec709_to_ntsc1953	,	V_18
TPG_COLOR_CSC_BLACK	,	V_27
b	,	V_3
c	,	V_26
mult_matrix	,	F_1
g	,	V_2
ir	,	V_5
rec709_to_ebu	,	V_16
i	,	V_25
m	,	V_4
"V4L2_COLORSPACE_470_SYSTEM_BG"	,	L_6
r	,	V_1
transfer_srgb_to_rec709	,	F_5
csc	,	F_6
rec709_to_170m	,	V_14
V4L2_COLORSPACE_SMPTE170M	,	V_13
"V4L2_COLORSPACE_SMPTE170M"	,	L_2
colorspace	,	V_10
v	,	V_8
colorspaces	,	V_23
"};\n\n"	,	L_11
tpg_colors	,	V_28
"const struct color16 tpg_csc_colors[V4L2_COLORSPACE_SRGB + 1][TPG_COLOR_CSC_BLACK + 1] = {\n"	,	L_9
