""	,	L_2
set_opts	,	V_16
"System's thread sibling scheduler setting: "	,	L_9
"Intel's performance bias setting needs root privileges\n"	,	L_10
optind	,	V_5
" bias setting\n"	,	L_12
optarg	,	V_4
perf_bias	,	V_11
CPUPOWER_CAP_PERF_BIAS	,	V_21
"System's multi core scheduler setting: "	,	L_5
bitmask_first	,	F_8
msr_intel_get_perf_bias	,	F_12
argv	,	V_3
"not supported\n"	,	L_6
caps	,	V_20
"%d\n"	,	L_7
run_as_root	,	V_18
PACKAGE	,	V_15
bitmask_setbit	,	F_6
opterr	,	V_6
"msb"	,	L_3
argc	,	V_2
ret	,	V_13
"analyzing CPU %d:\n"	,	L_13
"invalid or unknown argument\n"	,	L_1
getopt_long	,	F_4
bitmask_isbitset	,	F_10
bitmask_last	,	F_9
cpus_chosen	,	V_17
cpu	,	V_8
optopt	,	V_7
textdomain	,	F_3
params	,	V_12
cpupower_cpu_info	,	V_19
print_wrong_arg_exit	,	F_1
"perf-bias: %d\n"	,	L_15
bitmask_isallclear	,	F_5
sched_smt	,	V_10
cpufreq_cpu_exists	,	F_11
EXIT_FAILURE	,	V_1
LC_ALL	,	V_14
sched_mc	,	V_9
"mc"	,	L_4
"Could not read perf-bias value\n"	,	L_14
sysfs_get_sched	,	F_7
"System does not support Intel's performance"	,	L_11
cmd_info	,	F_2
"smt"	,	L_8
