""	,	L_1
xattr_array	,	V_3
fs_info	,	V_4
do_jffs2_getxattr	,	F_6
flags	,	V_17
size_t	,	T_1
list_size	,	V_19
dir	,	V_10
XATTR_SECURITY_PREFIX	,	V_23
inode	,	V_1
security_inode_init_security	,	F_4
JFFS2_XPREFIX_SECURITY	,	V_7
jffs2_initxattrs	,	F_1
qstr	,	V_11
d_inode	,	V_16
XATTR_SECURITY_PREFIX_LEN	,	V_22
retlen	,	V_21
buffer	,	V_13
name_len	,	V_20
value	,	V_8
xattr	,	V_2
err	,	V_5
value_len	,	V_9
dentry	,	V_12
list	,	V_18
jffs2_security_setxattr	,	F_7
jffs2_init_security	,	F_3
EINVAL	,	V_15
jffs2_security_getxattr	,	F_5
size	,	V_14
jffs2_security_listxattr	,	F_8
name	,	V_6
do_jffs2_setxattr	,	F_2
