""	,	L_2
set_opts	,	V_16
ENODEV	,	V_18
"Error setting sched-smt %s\n"	,	L_12
optind	,	V_5
optarg	,	V_4
perf_bias	,	V_11
"m:s:b:"	,	L_3
bitmask_first	,	F_8
argv	,	V_3
"of range [0-%d]\n"	,	L_5
"--sched-mc param out "	,	L_6
PACKAGE	,	V_15
opterr	,	V_6
"--perf-bias param out "	,	L_4
"value on CPU %d\n"	,	L_14
argc	,	V_2
ret	,	V_13
bitmask_setall	,	F_7
"invalid or unknown argument\n"	,	L_1
getopt_long	,	F_4
"Error setting sched-mc %s\n"	,	L_9
bitmask_isbitset	,	F_10
bitmask_last	,	F_9
cpus_chosen	,	V_19
cpu	,	V_8
cmd_set	,	F_2
optopt	,	V_7
"--sched-smt param out "	,	L_7
textdomain	,	F_3
params	,	V_12
stderr	,	V_17
print_wrong_arg_exit	,	F_1
bitmask_isallclear	,	F_6
sched_smt	,	V_10
cpufreq_cpu_exists	,	F_11
EXIT_FAILURE	,	V_1
LC_ALL	,	V_14
"Error setting perf-bias "	,	L_13
sched_mc	,	V_9
sysfs_set_sched	,	F_5
"mc"	,	L_8
msr_intel_set_perf_bias	,	F_12
"not supported"	,	L_10
"smt"	,	L_11
