""	,	L_3
proc_dir_entry	,	V_15
sctp_objcnt_seq_start	,	F_4
sctp_objcnt_ops	,	V_19
sctp_dbg_objcnt	,	V_7
seq_printf	,	F_2
inode	,	V_11
file	,	V_12
len	,	V_5
pos	,	V_10
seq_open	,	F_9
sctp_objcnt_seq_open	,	F_8
pr_warn	,	F_12
net	,	V_14
proc_create	,	F_11
seq	,	V_2
ARRAY_SIZE	,	F_5
atomic_read	,	F_3
remove_proc_entry	,	F_14
sctp_objcnt_seq_show	,	F_1
"sctp_dbg_objcnt"	,	L_4
seq_file	,	V_1
sctp_objcnt_seq_stop	,	F_6
i	,	V_4
ent	,	V_16
proc_net_sctp	,	V_18
label	,	V_8
counter	,	V_9
"%s: %d%n"	,	L_1
loff_t	,	V_6
sctp_objcnt_seq_ops	,	V_13
"sctp_dbg_objcnt: Unable to create /proc entry.\n"	,	L_5
sctp_dbg_objcnt_init	,	F_10
v	,	V_3
"%*s\n"	,	L_2
sctp	,	V_17
sctp_objcnt_seq_next	,	F_7
sctp_dbg_objcnt_exit	,	F_13
