""	,	L_4
np	,	V_2
bcm2835_init_clocks	,	F_13
mdelay	,	F_8
bcm2835_restart	,	F_5
writel_relaxed	,	F_6
PM_RSTC	,	V_10
of_platform_populate	,	F_14
device_node	,	V_1
pm_power_off	,	V_18
mode	,	V_5
bcm2835_power_off	,	F_9
iotable_init	,	F_11
u32	,	T_1
BUG	,	F_16
of_find_compatible_node	,	F_2
"unable to setup watchdog restart"	,	L_2
PM_WDOG	,	V_9
PM_RSTC_WRCFG_FULL_RESET	,	V_12
val	,	V_7
ret	,	V_17
"of_platform_populate failed: %d\n"	,	L_5
reboot_mode	,	V_4
"brcm,bcm2835-pm-wdt"	,	L_1
wdt_regs	,	V_3
PM_RSTC_WRCFG_MASK	,	V_11
bcm2835_init	,	F_12
REBOOT_HARD	,	V_15
bcm2835_setup_restart	,	F_1
WARN	,	F_3
"failed to remap watchdog regs"	,	L_3
readl_relaxed	,	F_7
of_default_bus_match_table	,	V_19
io_map	,	V_16
of_iomap	,	F_4
__init	,	T_2
PM_RSTS_HADWRH_SET	,	V_14
bcm2835_map_io	,	F_10
pr_err	,	F_15
PM_RSTS	,	V_13
cmd	,	V_6
PM_PASSWORD	,	V_8
