""	,	L_1
ENOMEM	,	V_11
HFSPLUS_ATTR_MAX_STRLEN	,	V_9
hfsplus_setxattr	,	F_6
kfree	,	F_4
XATTR_TRUSTED_PREFIX	,	V_12
flags	,	V_14
size_t	,	T_1
list_size	,	V_16
xattr_name	,	V_5
hfsplus_trusted_getxattr	,	F_1
kmalloc	,	F_2
hfsplus_trusted_setxattr	,	F_5
buffer	,	V_3
name_len	,	V_17
res	,	V_6
hfsplus_trusted_listxattr	,	F_7
hfsplus_getxattr	,	F_3
dentry	,	V_1
list	,	V_15
EOPNOTSUPP	,	V_18
NLS_MAX_CHARSET_SIZE	,	V_8
EINVAL	,	V_7
size	,	V_4
name	,	V_2
XATTR_TRUSTED_PREFIX_LEN	,	V_13
GFP_KERNEL	,	V_10
