""	,	L_1
ENOMEM	,	V_26
kfree	,	F_18
nfp_app	,	V_1
rcu_assign_pointer	,	F_11
skb	,	V_8
nfp_app_id	,	V_17
vnic_init	,	V_24
nfp_err	,	F_14
pdev	,	V_27
skb_reserve	,	F_6
mip	,	V_4
EBUSY	,	V_14
kzalloc	,	F_16
alloc_skb	,	F_5
nfp_app_ctrl_has_meta	,	F_4
lock	,	V_13
nfp_app_mip_name	,	F_1
nfp_repr_type	,	V_10
nfp_pf	,	V_16
id	,	V_18
exit_unlock	,	V_15
apps	,	V_20
app	,	V_2
ARRAY_SIZE	,	F_13
nfp_app_free	,	F_17
lockdep_is_held	,	F_9
cpp	,	V_21
nfp_app_alloc	,	F_12
old	,	V_12
reprs	,	V_11
i	,	V_19
WARN_ON	,	F_15
nfp_mip_name	,	F_2
rcu_dereference_protected	,	F_8
priority	,	V_7
EINVAL	,	V_22
"failed to find app with ID 0x%02hhx\n"	,	L_2
size	,	V_6
nfp_app_reprs_set	,	F_7
pf	,	V_3
sk_buff	,	V_5
name	,	V_23
nfp_app_ctrl_msg_alloc	,	F_3
GFP_KERNEL	,	V_25
nfp_reprs	,	V_9
gfp_t	,	T_1
ERR_PTR	,	F_10
