""	,	L_6
pci_write_config_dword	,	F_9
ctrl	,	V_8
local_clock	,	V_9
PCI_PTM_CAP	,	V_14
dev_info	,	F_2
"&gt;254ns"	,	L_2
pci_read_config_dword	,	F_7
PCI_PTM_GRANULARITY_MASK	,	V_15
clock_desc	,	V_3
cap	,	V_7
pci_pcie_type	,	F_6
dev	,	V_2
ptm_granularity	,	V_4
PCI_EXT_CAP_ID_PTM	,	V_11
pos	,	V_6
u32	,	T_1
PCI_PTM_CTRL	,	V_20
PCI_EXP_TYPE_RC_END	,	V_13
PCI_PTM_CAP_ROOT	,	V_18
pci_ptm_init	,	F_3
u8	,	T_2
PCI_PTM_CTRL_ENABLE	,	V_17
" (root)"	,	L_5
pci_is_pcie	,	F_4
pci_upstream_bridge	,	F_8
PCI_EXP_TYPE_ENDPOINT	,	V_12
PCI_PTM_CAP_REQ	,	V_23
EINVAL	,	V_22
pci_dev	,	V_1
PCI_PTM_CTRL_ROOT	,	V_19
pci_find_ext_capability	,	F_5
granularity	,	V_21
ups	,	V_10
"PTM enabled%s, %s granularity\n"	,	L_4
pci_enable_ptm	,	F_10
"unknown"	,	L_1
"%udns"	,	L_3
ptm_enabled	,	V_16
pci_ptm_info	,	F_1
ptm_root	,	V_5
