"%s: Halt channel %d\n"	,	L_116
"  Interval: %d\n"	,	L_263
alloc_ordered_workqueue	,	F_237
dwc2_hw_params	,	V_95
dwc2_hcd_get_future_frame_number	,	F_50
hcintmsk	,	V_172
TSIZ_SCHINFO_SHIFT	,	V_273
usb_pipetype	,	F_167
last_frame_num_array	,	V_644
"    max_packet: %d\n"	,	L_31
HPRT0_TSTCTL_SHIFT	,	V_513
number_of_packets	,	V_580
"	  Max Pkt %d\n"	,	L_72
"  port_reset_change: %d\n"	,	L_180
reset_work	,	V_585
tr_type	,	V_330
GUSBCFG_PHYSEL	,	V_40
hfnum_7_frrem_accum_a	,	V_549
old_xfer_buffer	,	V_397
kmem_cache_create	,	F_243
hfnum_7_frrem_accum_b	,	V_555
"## Urb QTD is NULL ##\n"	,	L_107
unlikely	,	F_17
hfnum	,	V_515
"    ep_type: %d\n"	,	L_30
dwc2_hc_halt	,	F_44
INIT_DELAYED_WORK	,	F_241
HUB_CHAR_INDV_PORT_OCPM	,	V_479
"  port_enable_change: %d\n"	,	L_181
dwc2_hc_continue_transfer	,	F_62
"IN"	,	L_210
"  P Tx Req Queue Space Avail: %d\n"	,	L_222
"%s: no host registers to restore\n"	,	L_297
prtspd	,	V_327
dma_sync_single_for_device	,	F_61
kmalloc_ptr	,	V_399
HCCHAR_EPNUM_MASK	,	V_196
size	,	V_530
"Frame remaining at SOF:\n"	,	L_224
"    %p\n"	,	L_40
"ClearPortFeature USB_PORT_FEAT_POWER\n"	,	L_152
pipetype	,	V_600
"  NP Tx Req Queue Space Avail (after queue): %d\n"	,	L_133
"	 Num Pkts: %d\n"	,	L_93
dwc2_frame_num_inc	,	F_51
skip_power_saving	,	V_594
MAX_EPS_CHANNELS	,	V_629
ep_dir	,	V_532
hctsiz	,	V_145
dwc2_dump_channel_info	,	F_23
GINTSTS_NPTXFEMP	,	V_93
"  Control status transaction\n"	,	L_122
GINTSTS_DISCONNINT	,	V_88
host_speed	,	V_227
"dwc2-hsisoc-desc"	,	L_290
word_count	,	V_136
dwc2_hcd_reinit	,	F_102
USB_SPEED_HIGH	,	V_234
is_b_host	,	V_163
SetPortFeature	,	V_509
xfer_buf	,	V_156
dwc2_frame_num_gt	,	F_52
ENOTSUPP	,	V_595
USB_PORT_STAT_C_L1	,	V_490
clear_bit	,	F_185
phy_clks	,	V_524
b	,	V_310
device_wakeup_enable	,	F_247
DWC2_CORE_REV_2_91a	,	V_120
frrem_accum	,	V_541
dwc2_map_urb_for_dma	,	F_115
hfnum_0_samples	,	V_544
"new gnptxfsiz=%08x\n"	,	L_22
i	,	V_137
irq	,	V_590
"	 Is In: %d\n"	,	L_60
USB_PORT_STAT_C_SUSPEND	,	V_489
do_ping	,	V_183
GHWCFG2_HS_PHY_TYPE_UTMI	,	V_326
p	,	V_561
GHWCFG2_FS_PHY_TYPE_SHARED_UTMI	,	V_128
u	,	V_482
arch	,	V_66
HCCHAR	,	F_25
num_channels	,	V_140
GNPTXSTS	,	V_221
dwc2_hregs_backup	,	V_672
GHWCFG2_OP_MODE_SRP_CAPABLE_DEVICE	,	V_82
dev_dbg	,	F_4
refcount	,	V_571
"      Max packet size: %d\n"	,	L_212
dwc2_read_hprt0	,	F_74
"    halt_status: %d\n"	,	L_34
"Frame remaining at sample point A (uframe 1-6):\n"	,	L_231
PCGCTL	,	V_356
dwc2_queue_transaction	,	F_131
"urb_dequeue"	,	L_270
ret	,	V_407
res	,	V_639
"    xfer_len: %d\n"	,	L_37
dwc2_hcd_queue_transactions	,	F_91
dwc2_hsotg_core_init_disconnected	,	F_140
"## urb-&gt;hcpriv is NULL ##\n"	,	L_271
setup_packet	,	V_377
"    hcint: 0x%08x\n"	,	L_205
"      transfer_buffer: %p\n"	,	L_213
op_state	,	V_296
GINTSTS_PTXFEMP	,	V_92
spin_unlock_irqrestore	,	F_70
HPRT0_CONNDET	,	V_316
PCGCTL_STOPPCLK	,	V_445
port	,	V_514
change_speed_quirk	,	V_625
"External DMA Mode not supported\n"	,	L_10
HCCHAR_EPDIR	,	V_197
"set HCCHAR(%d) to %08x\n"	,	L_56
DWC2_TRANSACTION_NON_PERIODIC	,	V_418
dwc2_hcd_urb_set_pipeinfo	,	F_153
HCSPLT_HUBADDR_MASK	,	V_209
C_HUB_LOCAL_POWER	,	V_454
dev_vdbg	,	F_22
"*** %s: Channel %d, chan-&gt;halt_pending already set ***\n"	,	L_76
dwc2_hcd_reset_func	,	F_181
USB_ENDPOINT_XFER_INT	,	V_188
transfer_flags	,	V_394
FIFOSIZE_DEPTH_SHIFT	,	V_113
"  Device address: %d\n"	,	L_247
DWC2_ELEMENTS_PER_LS_BITMAP	,	V_566
HPRT0_SPD_FULL_SPEED	,	V_328
hub_port	,	V_166
kmalloc	,	F_112
"%s: unaligned transfer with no transfer_buffer"	,	L_268
uphy	,	V_596
dwc2_core_host_init	,	F_98
dwc2_hcd_stop	,	F_85
USB_PORT_STAT_C_OVERCURRENT	,	V_492
HFNUM_FRNUM_SHIFT	,	V_518
GOTGCTL_CONID_B	,	V_436
HCINT	,	F_43
dwc2_flush_tx_fifo	,	F_99
p_tx_status	,	V_537
hfnum_0_frrem_accum	,	V_545
"ClearPortFeature request %1xh unknown or unsupported\n"	,	L_160
spin_unlock	,	F_205
DCTL_SFTDISCON	,	V_634
control_phase	,	V_374
"    %2d: %p\n"	,	L_43
"Set speed to full-speed\n"	,	L_278
"host_dma:%d dma_desc_enable:%d\n"	,	L_13
USB_SPEED_UNKNOWN	,	V_627
DWC2_CAP_PARAM_HNP_SRP_CAPABLE	,	V_79
GetHubDescriptor	,	V_472
hcint	,	V_538
us_per_frame	,	V_521
dwc2_readl	,	F_5
"    hub_addr: %d\n"	,	L_198
channel	,	V_289
HFNUM_FRREM_MASK	,	V_525
usb_urb_dir_out	,	F_114
setup_timer	,	F_239
"DWC OTG HCD URB Enqueue\n"	,	L_266
DWC2_USB_DMA_ALIGN	,	V_405
fail1	,	V_615
fail0	,	V_610
usb_create_hcd	,	F_232
DWC2_HCSPLT_XACTPOS_ALL	,	V_390
_dwc2_hcd_urb_dequeue	,	F_203
to_platform_device	,	F_226
fail3	,	V_617
hcd_to_bus	,	F_166
fail2	,	V_616
"Enabling descriptor DMA mode\n"	,	L_166
dma_mask	,	V_647
hw_params	,	V_20
"## Urb QTD QH is NULL ##\n"	,	L_108
DWC2_PHY_TYPE_PARAM_ULPI	,	V_52
isoc_split_offset	,	V_388
"Frame remaining at sample point A (uframe 0):\n"	,	L_230
list_move_tail	,	F_130
"Waiting for Peripheral Mode, Mode=%s\n"	,	L_140
usb_pipeendpoint	,	F_172
"connId B\n"	,	L_138
usb_tt	,	V_570
max_hc_pkt_count	,	V_254
dwc2_core_init	,	F_97
sg_tablesize	,	V_667
fifo_dwords_avail	,	V_420
qh_list	,	V_280
"    qh: %p\n"	,	L_38
"## Unknown EP type ##\n"	,	L_47
GHWCFG2_OP_MODE_SRP_CAPABLE_HOST	,	V_83
HCINTMSK_STALL	,	V_177
wq_otg	,	V_299
"    do_split: %d\n"	,	L_196
"%s(): Reset failed, aborting\n"	,	L_111
HFIR_FRINT_MASK	,	V_527
valid	,	V_676
dwc2_disable_host_interrupts	,	F_15
GUSBCFG_DDRSEL	,	V_55
start_pkt_count	,	V_261
"GetHubDescriptor\n"	,	L_161
dwc2_tt	,	V_563
"CONTROL"	,	L_249
dwc2_exit_hibernation	,	F_193
"falling back to buffer DMA mode.\n"	,	L_115
GINTSTS_CONIDSTSCHNG	,	V_13
err	,	V_341
"DWC OTG HCD REMOVE\n"	,	L_293
enable_dynamic_fifo	,	V_108
"Waiting for Host Mode, Mode=%s\n"	,	L_145
dbg_hc	,	F_39
HCINTMSK	,	F_38
USB_RESUME_TIMEOUT	,	V_446
"Queue non-periodic transactions\n"	,	L_130
mem_flags	,	V_400
"DWC OTG HCD EP RESET: bEndpointAddress=0x%02x\n"	,	L_275
_dwc2_hcd_hub_status_data	,	F_211
HPRT0_TSTCTL_MASK	,	V_504
dwc2_hcd_urb_dequeue	,	F_92
hprt	,	V_520
dma_free_coherent	,	F_219
"DWC OTG HCD GET FRAME NUMBER %d\n"	,	L_184
rsrc_start	,	V_653
"  NP active sched:\n"	,	L_41
_dwc2_hcd_stop	,	F_183
dwc2_hcd_urb_get_iso_desc_status	,	F_176
DWC2_CORE_REV_2_90a	,	V_361
dwc2_port_resume	,	F_137
GOTGCTL_OTGVER	,	V_351
GINTSTS_RXFLVL	,	V_11
"      Dev: %d, EP: %d %s\n"	,	L_209
USB_PORT_FEAT_SUSPEND	,	V_460
"Activating transceiver\n"	,	L_4
HCINTMSK_BBLERR	,	V_180
"ClearPortFeature USB_PORT_FEAT_SUSPEND\n"	,	L_151
pipe	,	V_576
"  Channel %d:\n"	,	L_190
PIPE_CONTROL	,	V_601
dwc2_hcd_urb	,	V_322
"PortPower off\n"	,	L_104
np_tx_status	,	V_536
"Overcurrent change detected\n"	,	L_164
"Unable to clear enable on channel %d\n"	,	L_117
usb_pipeout	,	F_197
host_nperio_tx_fifo_size	,	V_102
usb_add_hcd	,	F_246
"  Control data transaction\n"	,	L_121
no_fifo_space	,	V_426
GDFIFOCFG_EPINFOBASE_MASK	,	V_122
dwc2_writel	,	F_2
port_over_current_change	,	V_471
_dwc2_hcd_resume	,	F_192
uintptr_t	,	V_404
"DWC OTG HCD URB Enqueue failed adding QTD. Error status %d\n"	,	L_106
"can't set DMA mask\n"	,	L_284
transfer_buffer	,	V_396
alloc_bandwidth	,	V_606
USB_PORT_FEAT_C_OVER_CURRENT	,	V_470
"SetPortFeature - USB_PORT_FEAT_INDICATOR\n"	,	L_174
EREMOTEIO	,	V_583
"    halt_pending: %d\n"	,	L_195
list_for_each_entry	,	F_29
HFNUM	,	V_516
"Frame remaining at start_transfer (uframe 1-6):\n"	,	L_228
HCCHAR_MPS_MASK	,	V_203
HCCHAR_DEVADDR_MASK	,	V_194
fspcavail	,	V_423
dwc2_host_get_speed	,	F_87
DWC2_PHY_TYPE_PARAM_FS	,	V_27
GetPortStatus	,	V_486
HCCHAR_EPTYPE_SHIFT	,	V_200
more_to_do	,	V_431
phy_ulpi_ddr	,	V_56
GI2CCTL_I2CDEVADDR_MASK	,	V_48
ts_dline	,	V_349
"DMA enabled\n"	,	L_52
"%s: dwc2_hsotg_to_hcd(hsotg) NULL!\n"	,	L_295
frrem_samples	,	V_540
"ping, DMA\n"	,	L_88
port_connect_status_change	,	V_311
set_bit	,	F_182
FIFOSIZE_STARTADDR_MASK	,	V_116
qspcavail	,	V_427
"Channel disabled\n"	,	L_81
dwc2_hcd_urb_get_iso_desc_actual_length	,	F_175
hfnum_7_frrem_accum	,	V_543
USB_PORT_STAT_C_CONNECTION	,	V_487
GetHubStatus	,	V_485
"DWC OTG HCD START\n"	,	L_242
dwc2_qh	,	V_141
dwc2_host_complete	,	F_65
typereq	,	V_447
periodic_qh_count	,	V_666
"FS PHY enabling I2C\n"	,	L_5
DIV_ROUND_UP	,	F_150
"Queue Transactions\n"	,	L_135
do_split	,	V_185
root_hub	,	V_589
wire_frame	,	V_233
msleep	,	F_95
max_hc_xfer_size	,	V_252
GUSBCFG_OTG_UTMI_FS_SEL	,	V_46
data_fifo	,	V_247
GUSBCFG_PHYIF16	,	V_54
"%s() %p\n"	,	L_240
HCINTMSK_DATATGLERR	,	V_179
state	,	V_586
"	 Max Pkt: %d\n"	,	L_63
dwc2_hb_mult	,	F_127
"port_status=%08x\n"	,	L_167
last_frame_num	,	V_645
"	 Ep Type: %d\n"	,	L_62
DWC2_CAP_PARAM_NO_HNP_SRP_CAPABLE	,	V_80
dwc2_is_host_mode	,	F_9
"SetPortFeature - USB_PORT_FEAT_RESET\n"	,	L_172
"Using Buffer DMA mode\n"	,	L_15
dwc2_hsotg	,	V_1
dwc2_hcd_disconnect	,	F_82
split_order	,	V_421
"%s, urb %p\n"	,	L_246
GINTSTS	,	V_6
uses_dma	,	V_609
destroy_workqueue	,	F_222
"UNKNOWN"	,	L_257
DWC2_CONTROL_SETUP	,	V_375
GFP_KERNEL	,	V_642
dwc2_qtd	,	V_282
"  Transfer buffer: %p, Transfer DMA: %08lx\n"	,	L_261
dwc2_hcd_free	,	F_218
"    speed: %d\n"	,	L_191
usb_disabled	,	F_227
dwc2_phy_init	,	F_11
usbcfg	,	V_35
"  periodic_channels: %d\n"	,	L_218
DWC2_HC_XFER_URB_DEQUEUE	,	V_216
list_del_init	,	F_46
USB_PORT_STAT_HIGH_SPEED	,	V_501
"DWC OTG HCD EP DISABLE: bEndpointAddress=0x%02x, ep-&gt;hcpriv=%p\n"	,	L_274
"    complete_split: %d\n"	,	L_197
dbg_qh	,	F_121
usb_hcd_map_urb_for_dma	,	F_117
"Host"	,	L_141
dwc2_hcd_urb_get_error_count	,	F_174
MAX_DMA_DESC_NUM_HS_ISOC	,	V_663
"CSPLIT"	,	L_65
port_enable_change	,	V_467
HC_STATE_RUNNING	,	V_587
HCSPLT_COMPSPLT	,	V_204
external_id_pin_ctl	,	V_12
"HCD State:\n"	,	L_188
"SetPortFeature %1xh unknown or unsupported\n"	,	L_176
GINTSTS_MODEMIS	,	V_7
GINTSTS_USBSUSP	,	V_15
"    hcchar: 0x%08x\n"	,	L_203
hptxsts	,	V_214
hc_list_entry	,	V_301
regs	,	V_4
"	  xferlen %d\n"	,	L_73
status_buf	,	V_382
"DWC OTG HCD INIT\n"	,	L_281
"## %s: urb-&gt;priv is NULL ##\n"	,	L_237
"************************************************************\n"	,	L_187
DWC2_HC_PID_DATA0	,	V_240
del_timer	,	F_223
usb_maxpacket	,	F_196
DWC2_HC_PID_DATA1	,	V_241
dwc2_process_non_periodic_channels	,	F_134
DWC2_HC_PID_DATA2	,	V_242
qh_ptr	,	V_415
usb_hcd_giveback_urb	,	F_179
gotgctl	,	V_435
MAX_DMA_DESC_NUM_GENERIC	,	V_660
GHWCFG2_INT_DMA_ARCH	,	V_69
usb_hcd	,	V_160
HFIR	,	V_359
max_periodic_len	,	V_260
"Unknown hub control request: %1xh wIndex: %1xh wValue: %1xh\n"	,	L_177
" ISO Desc %d status %d\n"	,	L_239
HCFG_FSLSPCLKSEL_30_60_MHZ	,	V_29
initial_setup	,	V_344
INIT_LIST_HEAD	,	F_240
GRXFSIZ_DEPTH_SHIFT	,	V_111
DWC2_PHY_TYPE_PARAM_UTMI	,	V_57
HCSPLT	,	F_26
frame_list_dma	,	V_665
hfir	,	V_355
"FULL"	,	L_255
HCINTMSK_XACTERR	,	V_178
GHWCFG2_OP_MODE_UNDEFINED	,	V_362
priv	,	V_309
dwc2_core_params	,	V_94
"gotgctl.b.conidsts=%d\n"	,	L_137
ClearHubFeature	,	V_453
dwc2_free_bus_bandwidth	,	F_168
PIPE_BULK	,	V_602
unlock	,	V_593
"set HCINTMSK to %08x\n"	,	L_48
host_rx_fifo_size	,	V_101
DWC2_TRANSACTION_NONE	,	V_332
"DMA disabled\n"	,	L_53
USB_ENDPOINT_XFER_ISOC	,	V_190
DWC2_DEBUG_SOF	,	F_128
USB_PORT_FEAT_C_PORT_L1	,	V_469
"  Endpoint type: %s %s (%s)\n"	,	L_253
hptxfsiz	,	V_105
"    data_pid_start: %d\n"	,	L_32
dwc2_core_reset_and_force_dr_mode	,	F_7
"SetPortFeature - USB_PORT_FEAT_POWER\n"	,	L_171
next	,	V_287
"Frame remaining at sample point A (uframe 7):\n"	,	L_229
"dwc2"	,	L_286
GGPIO_STM32_OTG_GCCFG_PWRDWN	,	V_44
ptxfsiz	,	V_99
hcd	,	V_161
dwc2_dma_desc	,	V_659
ECONNRESET	,	V_285
dev_speed	,	V_324
"    xfer_count: %d\n"	,	L_193
HFNUM_FRNUM_MASK	,	V_517
"initial gnptxfsiz=%08x\n"	,	L_21
dwc2_hcd_get_ep_bandwidth	,	F_177
hr_backup	,	V_674
kzalloc	,	F_152
HCFG_FSLSPCLKSEL_48_MHZ	,	V_28
USB_PORT_STAT_SUSPEND	,	V_496
HFNUM_MAX_FRNUM	,	V_646
"  Data buffer length: %d\n"	,	L_260
"  Assigned to channel %p:\n"	,	L_26
GHWCFG2_EXT_DMA_ARCH	,	V_67
"  urb-&gt;status = %d\n"	,	L_273
_dwc2_hcd_hub_control	,	F_212
wvalue	,	V_448
start	,	V_654
HCSPLT_PRTADDR_SHIFT	,	V_210
next_active_frame	,	V_237
USB_PORT_FEAT_POWER	,	V_461
select_phy	,	V_34
"Using Slave mode\n"	,	L_16
__le32	,	V_493
HCD_FLAG_HW_ACCESSIBLE	,	V_588
GUSBCFG_HNPCAP	,	V_74
start_work	,	V_300
transfer_buffer_length	,	V_398
dma_desc_enable	,	V_72
dwc2_hsotg_disconnect	,	F_139
data_buf	,	V_135
dwc2_change_bus_speed	,	F_214
dwc2_max_packet	,	F_125
qh_list_entry	,	V_416
"urb_enqueue"	,	L_267
GAHBCFG_CTRL_MASK	,	V_70
"DWC OTG HCD HUB STATUS DATA: Root port status changed\n"	,	L_178
USB_DT_HUB	,	V_475
dwc2_hcd_rem_wakeup	,	F_84
dwc2_hcd_release	,	F_224
list_empty	,	F_78
