""	,	L_4
bf	,	V_1
"%s%#x"	,	L_2
BTIME	,	V_24
MODE	,	V_15
flags	,	V_6
"|"	,	L_3
size_t	,	T_1
INO	,	V_21
SYMLINK_NOFOLLOW	,	V_8
STATX_FORCE_SYNC	,	V_13
arg	,	V_4
val	,	V_7
scnprintf	,	F_2
syscall_arg__scnprintf_statx_flags	,	F_1
SYMLINK_FOLLOW	,	V_10
GID	,	V_18
P_FLAG	,	F_3
"SYNC_AS_STAT"	,	L_1
NLINK	,	V_16
SIZE	,	V_22
syscall_arg	,	V_3
n	,	T_2
REMOVEDIR	,	V_9
STATX_DONT_SYNC	,	V_14
printed	,	V_5
UID	,	V_17
size	,	V_2
ATIME	,	V_19
BLOCKS	,	V_23
syscall_arg__scnprintf_statx_mask	,	F_4
NO_AUTOMOUNT	,	V_11
EMPTY_PATH	,	V_12
MTIME	,	V_20
