""	,	L_1
ENOMEM	,	V_9
error_objects	,	V_8
_leave	,	F_8
_enter	,	F_2
error_histogram	,	V_6
error_stats	,	V_4
" = 0"	,	L_6
proc_mkdir	,	F_3
"fs/fscache"	,	L_2
"fs/fscache/objects"	,	L_5
fscache_objlist_fops	,	V_7
CONFIG_FSCACHE_OBJECT_LIST	,	F_7
CONFIG_FSCACHE_STATS	,	F_4
proc_create	,	F_5
fscache_proc_cleanup	,	F_10
CONFIG_FSCACHE_HISTOGRAM	,	F_6
remove_proc_entry	,	F_9
fscache_stats_fops	,	V_3
S_IFREG	,	V_2
fscache_histogram_fops	,	V_5
"fs/fscache/histogram"	,	L_4
" = -ENOMEM"	,	L_7
"fs/fscache/stats"	,	L_3
__init	,	T_1
fscache_proc_init	,	F_1
error_dir	,	V_1
