""	,	L_3
bus	,	V_2
bus_attr	,	V_10
ssize_t	,	T_1
"%s\n"	,	L_1
state_show	,	F_1
bus_attr_group	,	V_21
show	,	V_12
kobject_put	,	F_12
"bus"	,	L_4
size_t	,	T_2
dim2_sysfs_probe	,	F_7
kobj_group	,	V_9
bus_kobj_attr_store	,	F_6
medialb_bus	,	V_1
kobject	,	V_5
sysfs_create_group	,	F_11
bus_ktype	,	V_19
state	,	V_4
attribute	,	V_7
attr	,	V_8
bus_kobj_release	,	F_3
kobj	,	V_6
parent_kobj	,	V_17
kobject_init	,	F_8
ret	,	V_15
dim2_sysfs_destroy	,	F_13
xattr	,	V_11
err	,	V_18
err_create_group	,	V_22
count	,	V_14
EIO	,	V_13
store	,	V_16
"locked"	,	L_2
"kobject_add() failed: %d\n"	,	L_5
bus_kobj_attr_show	,	F_4
buf	,	V_3
container_of	,	F_5
dim2_sysfs_get_state_cb	,	F_2
pr_err	,	F_10
"sysfs_create_group() failed: %d\n"	,	L_6
kobject_add	,	F_9
err_kobject_add	,	V_20
