""	,	L_2
ioremap_nocache	,	F_3
GIC_ADDRSPACE_SZ	,	V_12
SEAD_CONFIG_GIC_PRESENT_SHF	,	V_7
gic_present	,	V_5
MIPS_CPU_VEIC	,	V_10
SEAD_CONFIG_SIZE	,	V_4
"GIC: %spresent\n"	,	L_1
MIPS_GIC_IRQ_BASE	,	V_14
"on"	,	L_5
current_cpu_data	,	V_8
options	,	V_9
cpu_has_veic	,	V_1
CPU_INT_GIC	,	V_13
__raw_readl	,	F_4
mips_cpu_irq_init	,	F_2
pr_info	,	F_5
"off"	,	L_6
SEAD_CONFIG_GIC_PRESENT_MSK	,	V_6
GIC_BASE_ADDR	,	V_11
gic_init	,	F_6
arch_init_irq	,	F_1
"not "	,	L_3
SEAD_CONFIG_BASE	,	V_3
__init	,	T_1
sead3_config_reg	,	V_2
"EIC: %s\n"	,	L_4
