""	,	L_8
"(irq) "	,	L_4
"This is a %s that will use trace_bprintk()\n"	,	L_7
trace_printk_test_global_str_irq	,	V_3
init_irq_work	,	F_4
work	,	V_2
trace_printk	,	F_2
"static string"	,	L_3
trace_printk_init	,	F_3
trace_printk_test_global_str_fmt	,	V_4
"(irq) This is a static string that will use trace_bputs\n"	,	L_1
irq_work_queue	,	F_5
irq_work	,	V_1
trace_printk_test_global_str	,	V_6
"This is a static string that will use trace_bputs\n"	,	L_6
"dynamic string"	,	L_5
__init	,	T_1
__exit	,	T_2
"(irq) This is a %s that will use trace_bprintk()\n"	,	L_2
trace_printk_exit	,	F_6
trace_printk_irq_work	,	F_1
irqwork	,	V_5
