""	,	L_2
dissector_try_heuristic	,	F_2
match_string	,	V_12
proto_tree_add_item	,	F_5
data	,	V_4
" (%s)"	,	L_1
private_data	,	V_16
pinfo	,	V_2
proto_register_media	,	F_9
proto_register_protocol	,	F_10
tvbuff_t	,	T_1
new_register_dissector	,	F_11
dissect_media	,	F_1
plurality	,	F_8
register_heur_dissector_list	,	F_12
col_append_fstr	,	F_4
gint	,	T_6
proto_item_add_subtree	,	F_6
proto_media	,	V_13
proto_set_cant_toggle	,	F_15
"Media Type: %s; %s (%d byte%s)"	,	L_3
tvb	,	V_1
ett	,	V_17
COL_INFO	,	V_11
tvb_length	,	F_3
tree	,	V_3
"Media Type"	,	L_6
proto_tree_add_text	,	F_7
heur_dtbl_entry_t	,	T_5
proto_item	,	T_4
ett_media	,	V_15
heur_subdissector_list	,	V_9
packet_info	,	T_2
ENC_NA	,	V_14
"s"	,	L_4
"media"	,	L_8
ti	,	V_6
cinfo	,	V_10
bytes	,	V_5
"Media"	,	L_7
proto_register_subtree_array	,	F_13
media_tree	,	V_7
"Media Type: %s (%d byte%s)"	,	L_5
array_length	,	F_14
hdtbl_entry	,	V_8
proto_tree	,	T_3
