""	,	L_1
text_window_clear	,	F_7
tw	,	V_2
g_ptr_array_add	,	F_6
text_window_set_text	,	F_11
funnel_logger	,	F_15
g_ptr_array_new	,	F_5
register_tap_listener_funnel	,	F_22
_U_	,	V_6
g_string_prepend	,	F_13
title	,	V_1
g_string_append	,	F_10
gpointer	,	T_6
g_ptr_array_index	,	F_19
g_new	,	F_2
g_string_new	,	F_4
len	,	V_11
g_string_free	,	F_8
g_strdup	,	F_3
text_windows	,	V_4
funnel_ops	,	V_9
text	,	V_3
"\n========================== %s "	,	L_2
g_ptr_array_remove_index	,	F_20
funnel_dump_all_text_windows	,	F_18
guint	,	T_8
"==========================\n%s\n"	,	L_3
funnel_text_window_t	,	T_1
funnel_set_funnel_ops	,	F_17
gchar	,	T_2
text_window_get_text	,	F_14
text_window_append	,	F_9
log_level	,	T_5
i	,	V_10
g_free	,	F_21
user_data	,	T_7
initialize_funnel_ops	,	F_16
new_text_window	,	F_1
message	,	V_7
stderr	,	V_8
str	,	V_5
text_window_prepend	,	F_12
GLogLevelFlags	,	T_4
log_domain	,	T_3
