""	,	L_2
win_sparkle_check_update_with_ui	,	F_13
g_string_printf	,	F_3
software_update_check	,	F_12
software_update_cleanup	,	F_14
software_update_can_shutdown_callback	,	V_17
SU_OSNAME	,	V_10
chan_name	,	V_2
win_sparkle_set_can_shutdown_callback	,	F_9
win_sparkle_set_shutdown_request_callback	,	F_10
g_string_new	,	F_2
SU_SCHEMA_VERSION	,	V_7
"x86"	,	L_1
update_url_str	,	V_4
update_url	,	V_12
"x86-64"	,	L_3
get_appcast_update_url	,	F_1
win_sparkle_set_update_check_interval	,	F_8
SU_APPLICATION	,	V_8
software_update_channel_e	,	T_1
software_update_init	,	F_4
gui_update_channel	,	V_14
win_sparkle_set_automatic_check_for_updates	,	F_7
gui_update_interval	,	V_16
software_update_shutdown_request_callback	,	V_18
"development"	,	L_4
win_sparkle_cleanup	,	F_15
"stable"	,	L_5
prefs	,	V_13
SU_SCHEMA_PREFIX	,	V_6
str	,	V_11
"Software\\Wireshark\\WinSparkle Settings"	,	L_7
"https://www.wireshark.org/%s/%u/%s/%s/%s/%s/en-US/%s.xml"	,	L_6
win_sparkle_set_appcast_url	,	F_6
UPDATE_CHANNEL_DEVELOPMENT	,	V_5
VERSION	,	V_9
gui_update_enabled	,	V_15
win_sparkle_init	,	F_11
arch	,	V_3
chan	,	V_1
win_sparkle_set_registry_path	,	F_5
