"Experiment","File","Class","CWE","CVSS","Expected","Prediction","Probability ofVulnerable","Probability ofNot Vulnerable"
"v3.3","drivers/net/ethernet/freescale/gianfar_ethtool.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","arch/arm/plat-mxc/clock.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","net/netfilter/xt_CHECKSUM.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","net/rxrpc/ar-input.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","fs/ceph/addr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","arch/powerpc/lib/devres.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","arch/mips/dec/kn02xa-berr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","arch/mips/powertv/asic/prealloc-cronuslite.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","net/ethernet/pe2.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","net/ipv4/netfilter/nf_conntrack_proto_icmp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/net/ethernet/intel/ixgbe/ixgbe_82598.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","fs/ubifs/recovery.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/staging/usbip/userspace/src/usbip.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/tty/serial/sunsab.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","arch/sh/boards/mach-highlander/pinmux-r7785rp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/staging/vt6656/michael.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/media/video/usbvision/usbvision-cards.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","fs/freevxfs/vxfs_bmap.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","kernel/sched/fair.c","Vulnerability","400","7.5","Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","tools/perf/builtin-annotate.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/bluetooth/hci_ll.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/acpi/acpica/exdump.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","arch/ia64/sn/kernel/huberror.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/net/wireless/libertas/tx.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/staging/comedi/drivers/pcl725.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/net/can/vcan.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","fs/ufs/namei.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","arch/powerpc/platforms/powermac/low_i2c.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","scripts/dtc/util.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/tty/serial/8250/8250_fsl.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","sound/pcmcia/vx/vxpocket.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","arch/mips/loongson/common/init.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","net/netrom/nr_subr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/usb/host/ohci-sm501.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","arch/arm/mach-kirkwood/mv88f6281gtw_ge-setup.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","fs/nfs/pnfs.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","net/rxrpc/af_rxrpc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","sound/pci/ice1712/revo.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/hwmon/ad7414.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","arch/arm/mach-shmobile/board-ap4evb.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/uwb/ie-rcv.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/video/omap2/dss/sdi.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","fs/xfs/xfs_stats.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v3.3","drivers/net/ethernet/sis/sis900.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
