"Experiment","File","Class","CWE","CVSS","Expected","Prediction","Probability ofVulnerable","Probability ofNot Vulnerable"
"OpenSSL_0_9_4","demos/maurice/loadkeys.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.047196527537042676","0.9528034724629573"
"OpenSSL_0_9_4","crypto/rc5/rc5_ecb.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.047196527537042676","0.9528034724629573"
"OpenSSL_0_9_4","crypto/x509v3/v3_int.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.047196527537042676","0.9528034724629573"
"OpenSSL_0_9_4","crypto/bio/bf_null.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_4","apps/openssl.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.020446927374301677","0.9795530726256984"
"OpenSSL_0_9_4","crypto/evp/c_all.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.047196527537042676","0.9528034724629573"
"OpenSSL_0_9_4","crypto/err/err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.026000000000000002","0.9740000000000001"
"OpenSSL_0_9_4","crypto/pkcs12/p12_crpt.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.047196527537042676","0.9528034724629573"
"OpenSSL_0_9_4","crypto/evp/p_verify.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.047196527537042676","0.9528034724629573"
"OpenSSL_0_9_4","crypto/bio/b_sock.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_4","crypto/rand/rand_lib.c","Vulnerability","330","5.0","Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_4","crypto/x509v3/v3_skey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_4","crypto/rsa/rsa_ssl.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0015536515784282513","0.9984463484215718"
"OpenSSL_0_9_4","crypto/x509v3/v3_info.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_4","crypto/asn1/p7_recip.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.047196527537042676","0.9528034724629573"
"OpenSSL_0_9_4","crypto/pkcs12/p12_add.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_4","crypto/evp/bio_md.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_4","demos/bio/saccept.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.047196527537042676","0.9528034724629573"
"OpenSSL_0_9_4","crypto/asn1/a_hdr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.047196527537042676","0.9528034724629573"
"OpenSSL_0_9_4","crypto/evp/e_cbc_r5.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.047196527537042676","0.9528034724629573"
