"Experiment","File","Class","CWE","CVSS","Expected","Prediction","Probability ofVulnerable","Probability ofNot Vulnerable"
"OpenSSL_0_9_5","demos/maurice/loadkeys.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/rc5/rc5_ecb.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/x509v3/v3_int.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/bio/bf_null.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","apps/openssl.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.004285714285714285","0.9957142857142857"
"OpenSSL_0_9_5","crypto/evp/c_all.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/err/err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_5","crypto/pkcs12/p12_crpt.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/evp/p_verify.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/bio/b_sock.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/rand/rand_lib.c","Vulnerability","330","5.0","Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/x509v3/v3_skey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/rsa/rsa_ssl.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.16578679653679648","0.8342132034632036"
"OpenSSL_0_9_5","crypto/x509v3/v3_info.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/p7_recip.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/pkcs12/p12_add.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/dso/dso_dlfcn.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/evp/bio_md.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","demos/bio/saccept.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/a_hdr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/evp/p_sign.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/lhash/lh_stats.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/ebcdic.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/a_digest.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.075","0.925"
"OpenSSL_0_9_5","crypto/pkcs12/p12_crt.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/a_null.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/x_algor.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","apps/rsa.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.21","0.79"
"OpenSSL_0_9_5","ssl/ssl_algs.c","Vulnerability","310","5.0","Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/a_d2i_fp.c","Vulnerability","399","7.8","Vulnerable","Vulnerable","0.6187857142857142","0.3812142857142857"
"OpenSSL_0_9_5","crypto/bf/bf_skey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/bio/bss_rtcp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/bio/bf_buff.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/bio/bss_null.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/bn/bn_blind.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.06102849248947309","0.9389715075105269"
"OpenSSL_0_9_5","demos/pkcs12/pkwrite.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/des/enc_writ.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/idea/i_ofb64.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/cast/c_ofb64.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/conf/conf_err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/rsa/rsa_null.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.16578679653679648","0.8342132034632036"
"OpenSSL_0_9_5","crypto/rc2/rc2speed.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/x509/x509_txt.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.005","0.995"
"OpenSSL_0_9_5","crypto/evp/bio_enc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","ssl/s23_meth.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/f_string.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_5","crypto/x509v3/v3conf.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/bio/bss_conn.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/pkcs12/p12_lib.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/des/des_enc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","ssl/s3_clnt.c","Vulnerability","310","6.8","Vulnerable","Vulnerable","0.9466666666666667","0.053333333333333344"
"OpenSSL_0_9_5","ssl/ssl_err.c","Vulnerability","310","6.8","Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","ssl/t1_srvr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.07321428571428572","0.9267857142857143"
"OpenSSL_0_9_5","crypto/asn1/x_cinf.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/comp/comp_lib.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/idea/i_skey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/pkcs7/sign.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.003333333333333333","0.9966666666666667"
"OpenSSL_0_9_5","crypto/asn1/a_utf8.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/bio/bss_acpt.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/x509v3/v3prin.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/a_print.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/x_name.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/x509/by_dir.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/pkcs12/pk12err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/evp/m_md2.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","apps/ca.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.12833333333333333","0.8716666666666667"
"OpenSSL_0_9_5","crypto/asn1/x_sig.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/evp/encode.c","Vulnerability","119","7.5","Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/p7_signd.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/buffer/buf_err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.065","0.935"
"OpenSSL_0_9_5","crypto/conf/conf_api.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/t_bitst.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/x509/x509_ext.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_5","crypto/evp/m_mdc2.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/a_strex.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_5","crypto/objects/o_names.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/conf/conf_lib.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/p7_dgst.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","demos/maurice/example1.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/md2/md2.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","demos/eay/loadrsa.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.17","0.83"
"OpenSSL_0_9_5","bugs/dggccbug.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/idea/i_cfb64.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/a_mbstr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/pkcs12/p12_bags.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/evp/p5_crpt2.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_5","crypto/evp/p_enc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/rc4/rc4_enc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/asn1/x_pkey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/bio/b_dump.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_5","crypto/bf/bf_opts.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
