"Experiment","File","Class","CWE","CVSS","Expected","Prediction","Probability ofVulnerable","Probability ofNot Vulnerable"
"OpenSSL_0_9_8","crypto/rc5/rc5_ecb.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/x509v3/v3_int.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/rsa/rsa_depr.c","Clear",,,"Not Vulnerable","Not Vulnerable","1.4645520122410317E-4","0.9998535447987759"
"OpenSSL_0_9_8","crypto/bio/bf_null.c","Clear",,,"Not Vulnerable","Not Vulnerable","9.950248756218905E-5","0.9999004975124379"
"OpenSSL_0_9_8","demos/engines/rsaref/rsaref.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/seed/seed_ecb.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/store/str_lib.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_8","crypto/bio/b_sock.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_8","crypto/x509v3/v3_skey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.00163157617447625","0.9983684238255237"
"OpenSSL_0_9_8","crypto/sha/sha512.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/rsa/rsa_ssl.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/x509v3/v3_info.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/pkcs12/p12_add.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/evp/bio_md.c","Clear",,,"Not Vulnerable","Not Vulnerable","9.950248756218905E-5","0.9999004975124379"
"OpenSSL_0_9_8","crypto/rand/rand_vms.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.001021162420365638","0.9989788375796345"
"OpenSSL_0_9_8","crypto/dh/dh_depr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/evp/p_sign.c","Clear",,,"Not Vulnerable","Not Vulnerable","2.0086626725527294E-4","0.9997991337327448"
"OpenSSL_0_9_8","crypto/LPdir_nyi.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/lhash/lh_stats.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/ebcdic.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/asn1/a_digest.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/pkcs12/p12_crt.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","engines/e_4758cca_err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","engines/e_gmp_err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/asn1/x_algor.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","apps/rsa.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.03","0.97"
"OpenSSL_0_9_8","crypto/evp/pmeth_gn.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0013280850363880936","0.9986719149636119"
"OpenSSL_0_9_8","crypto/asn1/x_nx509.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/bf/bf_skey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/bio/bss_rtcp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/asn1/tasn_dec.c","Vulnerability","119","10.0","Vulnerable","Not Vulnerable","0.42","0.58"
"OpenSSL_0_9_8","crypto/dsa/dsa_depr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","demos/engines/ibmca/hw_ibmca.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.04","0.96"
"OpenSSL_0_9_8","crypto/bn/bn_blind.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.03","0.97"
"OpenSSL_0_9_8","demos/pkcs12/pkwrite.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","demos/engines/cluster_labs/hw_cluster_labs.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/conf/conf_err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.14715687739134925","0.8528431226086507"
"OpenSSL_0_9_8","crypto/pqueue/pqueue.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.05","0.95"
"OpenSSL_0_9_8","crypto/ecdh/ech_key.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/ecdsa/ecs_lib.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_8","crypto/bn/bn_nist.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.10092298504646215","0.8990770149535379"
"OpenSSL_0_9_8","crypto/des/des_enc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","ssl/s3_clnt.c","Vulnerability","310","6.8","Vulnerable","Vulnerable","0.81","0.19"
"OpenSSL_0_9_8","crypto/ui/ui_openssl.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/asn1/tasn_typ.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/cms/cms_io.c","Clear",,,"Not Vulnerable","Not Vulnerable","5.524861878453039E-5","0.9999447513812154"
"OpenSSL_0_9_8","crypto/engine/tb_rsa.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","ssl/t1_srvr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/idea/i_skey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.011422561044005665","0.9885774389559943"
"OpenSSL_0_9_8","crypto/LPdir_win.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/rand/rand_unix.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/asn1/x_name.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/x509/by_dir.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/engine/eng_openssl.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/evp/m_md2.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","ssl/d1_enc.c","Vulnerability","189","6.8","Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/bn/bn_depr.c","Clear",,,"Not Vulnerable","Not Vulnerable","1.4645520122410317E-4","0.9998535447987759"
"OpenSSL_0_9_8","crypto/evp/encode.c","Vulnerability","119","7.5","Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/conf/conf_api.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/asn1/t_bitst.c","Clear",,,"Not Vulnerable","Not Vulnerable","2.5383391409618147E-4","0.9997461660859038"
"OpenSSL_0_9_8","crypto/evp/m_mdc2.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/asn1/tasn_fre.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/asn1/a_strex.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/conf/conf_lib.c","Clear",,,"Not Vulnerable","Not Vulnerable","7.625698710463249E-4","0.9992374301289537"
"OpenSSL_0_9_8","crypto/seed/seed_cbc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/idea/i_cfb64.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/camellia/camellia.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/ec/ec_key.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.04","0.96"
"OpenSSL_0_9_8","crypto/asn1/a_mbstr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/engine/eng_table.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/evp/p5_crpt2.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_8","crypto/rc4/rc4_enc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/asn1/x_pkey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.02","0.98"
"OpenSSL_0_9_8","crypto/bn/bn_exp.c","Clear","200","1.9","Not Vulnerable","Not Vulnerable","0.18","0.82"
"OpenSSL_0_9_8","crypto/evp/p_open.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/x509v3/v3_cpols.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/sha/sha_one.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/x509v3/v3_addr.c","Vulnerability","399","4.3","Vulnerable","Not Vulnerable","0.03","0.97"
"OpenSSL_0_9_8","crypto/store/str_mem.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/bn/bn_recp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.09","0.91"
"OpenSSL_0_9_8","crypto/asn1/t_req.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/asn1/a_octet.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","apps/crl2p7.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_8","crypto/rc2/tab.c","Clear",,,"Not Vulnerable","Not Vulnerable","6.903389727980718E-4","0.9993096610272019"
"OpenSSL_0_9_8","crypto/pem/pem_x509.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","ssl/s2_enc.c","Clear",,,"Not Vulnerable","Not Vulnerable","9.669960058860626E-5","0.9999033003994114"
"OpenSSL_0_9_8","crypto/dso/dso_win32.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_8","apps/x509.c","VulnerableHistory",,,"Not Vulnerable","Vulnerable","0.57","0.43"
"OpenSSL_0_9_8","apps/dsa.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.07","0.93"
"OpenSSL_0_9_8","crypto/seed/seed_ofb.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/bio/bss_dgram.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.03","0.97"
"OpenSSL_0_9_8","crypto/bio/bio_lib.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","apps/s_client.c","Clear","399","9.3","Not Vulnerable","Not Vulnerable","0.06","0.94"
"OpenSSL_0_9_8","apps/gendh.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/evp/m_ripemd.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","demos/engines/ibmca/hw_ibmca_err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","ssl/s3_enc.c","Clear","310","5.0","Not Vulnerable","Not Vulnerable","0.05","0.95"
"OpenSSL_0_9_8","crypto/asn1/x_x509a.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/pkcs7/pk7_mime.c","Clear",,,"Not Vulnerable","Not Vulnerable","5.524861878453039E-5","0.9999447513812154"
"OpenSSL_0_9_8","crypto/ts/ts_err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.14715687739134925","0.8528431226086507"
"OpenSSL_0_9_8","crypto/seed/seed.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","demos/sign/sign.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","ssl/t1_meth.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","ssl/ssl_err2.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0018511115893310515","0.9981488884106688"
"OpenSSL_0_9_8","crypto/mdc2/mdc2_one.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/evp/m_md4.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/dh/dh_lib.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_8","crypto/md4/md4.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/ec/ec_curve.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.12030919439934566","0.8796908056006544"
"OpenSSL_0_9_8","crypto/dsa/dsagen.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/engine/eng_dyn.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","demos/x509/mkcert.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/ocsp/ocsp_ht.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/des/pcbc_enc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0054162116599971825","0.9945837883400028"
"OpenSSL_0_9_8","crypto/asn1/i2d_pr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
