"Experiment","File","Class","CWE","CVSS","Expected","Prediction","Probability ofVulnerable","Probability ofNot Vulnerable"
"OpenSSL_0_9_8","crypto/rc5/rc5_ecb.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/x509v3/v3_int.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/rsa/rsa_depr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.047333333333333345","0.9526666666666667"
"OpenSSL_0_9_8","crypto/bio/bf_null.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","demos/engines/rsaref/rsaref.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.007142857142857143","0.9928571428571429"
"OpenSSL_0_9_8","crypto/seed/seed_ecb.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/store/str_lib.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/bio/b_sock.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/x509v3/v3_skey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/sha/sha512.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/rsa/rsa_ssl.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.20412301587301585","0.7958769841269842"
"OpenSSL_0_9_8","crypto/x509v3/v3_info.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/pkcs12/p12_add.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/evp/bio_md.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/rand/rand_vms.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/dh/dh_depr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_8","crypto/evp/p_sign.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/LPdir_nyi.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/lhash/lh_stats.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/ebcdic.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/asn1/a_digest.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/pkcs12/p12_crt.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","engines/e_4758cca_err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.04867181221277375","0.9513281877872262"
"OpenSSL_0_9_8","engines/e_gmp_err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.04867181221277375","0.9513281877872262"
"OpenSSL_0_9_8","crypto/asn1/x_algor.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","apps/rsa.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.046666666666666655","0.9533333333333333"
"OpenSSL_0_9_8","crypto/evp/pmeth_gn.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_8","crypto/asn1/x_nx509.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/bf/bf_skey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/bio/bss_rtcp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/asn1/tasn_dec.c","Vulnerability","119","10.0","Vulnerable","Vulnerable","0.66","0.34"
"OpenSSL_0_9_8","crypto/dsa/dsa_depr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"OpenSSL_0_9_8","demos/engines/ibmca/hw_ibmca.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/bn/bn_blind.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","demos/pkcs12/pkwrite.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","demos/engines/cluster_labs/hw_cluster_labs.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/conf/conf_err.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01356420292751226","0.9864357970724877"
"OpenSSL_0_9_8","crypto/pqueue/pqueue.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.032","0.968"
"OpenSSL_0_9_8","crypto/ecdh/ech_key.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/ecdsa/ecs_lib.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/bn/bn_nist.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"OpenSSL_0_9_8","crypto/des/des_enc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
