"Experiment","File","Class","CWE","CVSS","Expected","Prediction","Probability ofVulnerable","Probability ofNot Vulnerable"
"v2.0.0","ui/gtk/dfilter_expr_dlg.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v2.0.0","ui/gtk/gtk_iface_monitor.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.049988887116209094","0.9500111128837909"
"v2.0.0","epan/dissectors/asn1/ns_cert_exts/packet-ns_cert_exts-template.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v2.0.0","epan/dissectors/packet-h248_annex_c.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v2.0.0","epan/dissectors/packet-bpq.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v2.0.0","ui/gtk/progress_dlg.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v2.0.0","echld/parent.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v2.0.0","epan/dissectors/asn1/pkixqualified/packet-pkixqualified-template.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v2.0.0","epan/dissectors/packet-infiniband_sdp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v2.0.0","epan/column-utils.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.03","0.97"
"v2.0.0","epan/dissectors/packet-sndcp-xid.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.003353705399583202","0.9966462946004168"
"v2.0.0","epan/dissectors/packet-teklink.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v2.0.0","epan/dissectors/packet-osi.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v2.0.0","epan/dissectors/packet-pw-satop.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.015024817632058101","0.9849751823679419"
"v2.0.0","wiretap/packetlogger.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.06301925400880508","0.936980745991195"
"v2.0.0","plugins/wimax/msg_dlmap.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.015024817632058101","0.9849751823679419"
"v2.0.0","epan/dissectors/packet-stun.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.020010451491942943","0.979989548508057"
"v2.0.0","plugins/wimax/wimax_harq_map_decoder.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.003353705399583202","0.9966462946004168"
"v2.0.0","epan/dissectors/packet-3com-njack.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.003353705399583202","0.9966462946004168"
"v2.0.0","ui/export_object_dicom.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v2.0.0","plugins/docsis/packet-regack.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.003353705399583202","0.9966462946004168"
"v2.0.0","epan/dissectors/packet-ehdlc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.003353705399583202","0.9966462946004168"
"v2.0.0","epan/dissectors/packet-bt-dht.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v2.0.0","epan/dissectors/packet-catapult-dct2000.c","Vulnerability","119","4.3","Vulnerable","Not Vulnerable","0.09","0.91"
"v2.0.0","ui/gtk/color_dlg.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
