Version,Technique,MCC,F1,Precision,Recall
v3.0,Our,0.704,0.864,0.841,0.89
v3.1,Our,0.716,0.869,0.821,0.924
v3.10,Our,0.765,0.89,0.884,0.895
v3.11,Our,0.851,0.928,0.932,0.923
v3.12,Our,0.761,0.888,0.878,0.898
v3.13,Our,0.715,0.869,0.821,0.923
v3.14,Our,0.853,0.929,0.929,0.929
v3.15,Our,0.775,0.894,0.891,0.898
v3.16,Our,0.802,0.905,0.919,0.892
v3.17,Our,0.809,0.909,0.909,0.909
v3.18,Our,0.811,0.908,0.93,0.888
v3.19,Our,0.72,0.871,0.839,0.906
v3.2,Our,0.751,0.884,0.857,0.914
v3.3,Our,0.696,0.862,0.819,0.909
v3.4,Our,0.729,0.875,0.84,0.913
v3.5,Our,0.716,0.856,0.936,0.788
v3.6,Our,0.738,0.878,0.861,0.897
v3.7,Our,0.667,0.85,0.817,0.886
v3.8,Our,0.778,0.893,0.915,0.873
v3.9,Our,0.694,0.861,0.827,0.897
v4.0,Our,0.876,0.939,0.964,0.915
v4.1,Our,0.862,0.933,0.938,0.929
v4.10,Our,0.791,0.899,0.921,0.879
v4.11,Our,0.746,0.882,0.866,0.898
v4.12,Our,0.777,0.891,0.93,0.855
v4.13,Our,0.79,0.896,0.941,0.856
v4.14,Our,0.802,0.905,0.913,0.897
v4.2,Our,0.771,0.883,0.955,0.821
v4.3,Our,0.835,0.919,0.942,0.897
v4.4,Our,0.824,0.916,0.907,0.926
v4.5,Our,0.793,0.9,0.924,0.877
v4.6,Our,0.788,0.9,0.876,0.926
v4.7,Our,0.793,0.902,0.905,0.899
v4.8,Our,0.827,0.917,0.914,0.921
v4.9,Our,0.799,0.904,0.904,0.904
