Version,Technique,MCC,F1,Precision,Recall
v3.0,Our,0.459,0.671,0.948,0.52
v3.1,Our,0.513,0.681,0.997,0.517
v3.10,Our,0.418,0.675,0.899,0.54
v3.11,Our,0.435,0.68,0.91,0.542
v3.12,Our,0.39,0.687,0.852,0.575
v3.13,Our,0.342,0.661,0.839,0.545
v3.14,Our,0.446,0.679,0.923,0.537
v3.15,Our,0.391,0.675,0.87,0.551
v3.16,Our,0.386,0.681,0.855,0.566
v3.17,Our,0.398,0.676,0.876,0.55
v3.18,Our,0.444,0.667,0.937,0.517
v3.19,Our,0.402,0.687,0.865,0.569
v3.2,Our,0.458,0.675,0.941,0.527
v3.3,Our,0.401,0.682,0.87,0.561
v3.4,Our,-0.143,0.643,0.514,0.857
v3.5,Our,0.473,0.673,0.961,0.518
v3.6,Our,0.434,0.679,0.91,0.542
v3.7,Our,0.429,0.681,0.902,0.546
v3.8,Our,0.355,0.671,0.837,0.56
v3.9,Our,0.41,0.677,0.888,0.547
v4.0,Our,0.488,0.677,0.973,0.519
v4.1,Our,0.507,0.68,0.991,0.517
v4.10,Our,0.316,0.667,0.806,0.569
v4.11,Our,0.435,0.688,0.898,0.557
v4.12,Our,0.393,0.677,0.869,0.555
v4.13,Our,0.313,0.66,0.812,0.556
v4.14,Our,0.347,0.669,0.833,0.559
v4.2,Our,0.379,0.674,0.859,0.554
v4.3,Our,0.412,0.688,0.873,0.567
v4.4,Our,0.436,0.687,0.901,0.555
v4.5,Our,0.359,0.676,0.834,0.568
v4.6,Our,0.357,0.669,0.843,0.554
v4.7,Our,0.5,0.701,0.954,0.554
v4.8,Our,0.331,0.668,0.818,0.565
v4.9,Our,0.422,0.683,0.891,0.554
